ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,E_score,S_score,G_score,ESG_score
acad,ACADIA Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2d87da57d47f7a5c0225c54f67d806d3a906cec1ea63d739dad084772cf5079c.png,https://acadia.com/,B,Medium,B,Medium,BB,Medium,0.05780346820809246,0.13806706114398426,0.5750000000000001,765,16-04-2022,BB,Medium,1070494,0.05780346820809246,0.13806706114398426,0.5750000000000001,0.23704150562643228
acac,Acri Capital Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,,,,B,Medium,B,Medium,BB,Medium,0.0,0.08875739644970415,0.5625,705,10-06-2022,B,Medium,1914023,0.0,0.08875739644970415,0.5625,0.19537721893491122
accd,Accolade Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/a967c80c75f9c72bb31fd3ae796a0a4e1e0dec7378ade4f78c06f10d89acf8bf.png,https://www.accolade.com,B,Medium,B,Medium,B,Medium,0.10597302504816952,0.1854043392504931,0.4,744,10-06-2022,B,Medium,1481646,0.10597302504816952,0.1854043392504931,0.4,0.21801051179441575
acet,Adicet Bio Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/ea701be36180b02128c519975a35fcca2ef8ef5cd412e65e7ff39eb054703270.png,https://www.adicetbio.com/,B,Medium,B,Medium,BB,Medium,0.02890173410404623,0.10059171597633138,0.5750000000000001,731,16-04-2022,B,Medium,1720580,0.02890173410404623,0.10059171597633138,0.5750000000000001,0.2142382084345179
abcl,Abcellera Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/cd950365b552eae0cadf348f427e5a4dd05974468d5803b8b63e44da362a5ee9.png,https://www.abcellera.com/,A,High,BB,Medium,BB,Medium,0.6551059730250481,0.3826429980276134,0.675,1239,10-06-2022,A,High,1703057,0.6551059730250481,0.3826429980276134,0.675,0.5793352886183033
abcb,Ameris Bancorp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,https://static.finnhub.io/logo/8cea9450-80df-11ea-80b8-00000000092a.png,https://www.amerisbank.com/,B,Medium,BB,Medium,B,Medium,0.17341040462427743,0.27613412228796846,0.4375,840,16-04-2022,BB,Medium,351569,0.17341040462427743,0.27613412228796846,0.4375,0.28345439853610155
acev,ACE Convergence Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,,https://static.finnhub.io/logo/d86f14d77a3f95acbb00c602a4e2d735df7f2d3cfd22be9263a22876630ae65d.png,http://acev.io/home/,B,Medium,B,Medium,B,Medium,0.048169556840077066,0.10059171597633138,0.35,651,10-06-2022,B,Medium,1813658,0.048169556840077066,0.10059171597633138,0.35,0.15444533752893025
achl,Achilles Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/6147e0afabb6d97c0483d7921c255166e49adccf043d5bf956068f9c4c546cae.png,https://www.achillestx.com/,B,Medium,B,Medium,B,Medium,0.05780346820809246,0.252465483234714,0.525,803,10-06-2022,BB,Medium,1830749,0.05780346820809246,0.252465483234714,0.525,0.2563610322536512
achc,Acadia Healthcare Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/4b6b2e5a4cfce5b1377719219ab5a354a629c9b9fb43067b5993423152fef1fb.png,https://www.acadiahealthcare.com/,BB,Medium,B,Medium,B,Medium,0.2504816955684008,0.14003944773175542,0.36250000000000004,781,16-04-2022,BB,Medium,1520697,0.2504816955684008,0.14003944773175542,0.36250000000000004,0.25095451254688694
aciw,ACI Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/875c5a76-80df-11ea-ab99-00000000092a.png,https://www.aciworldwide.com/,A,High,BB,Medium,BB,Medium,0.5780346820809248,0.329388560157791,0.5625,1127,16-04-2022,BBB,High,935036,0.5780346820809248,0.329388560157791,0.5625,0.4987804408797072
